Country,Year,GDP Growth,Inflation,Top 10% Wealth Percentage
Bahrain,1997,5.83,-7.06,52.6
Bahrain,1998,4.92,2.66,52.5
Bahrain,1999,5.16,30,52.3
Bahrain,2000,3.49,-3.36,52.1
Bahrain,2001,3.35,3.41,51.9
Bahrain,2003,7.89,11,51.6
Bahrain,2004,14.5,13.7,51.5
Bahrain,2005,17.1,8.84,51.5
Bahrain,2006,21.2,8.44,51.6
Bahrain,2007,18.5,11.4,51.6
Bahrain,2008,-14,-13,51.2
Bahrain,2009,6.11,7.44,51.5
Bahrain,2010,4.99,9.74,51.3
Bahrain,2011,4.13,3.01,51.6
Bahrain,2012,4.16,0.384,51.8
Bangladesh,1990,3.88,2.73,37.5
Bangladesh,1991,5.76,2.58,39.6
Bangladesh,1992,5.26,0.156,41.3
Bangladesh,1993,4.65,3.97,42.7
Bangladesh,1994,5.42,7.14,43.8
Bangladesh,1995,5.03,19.1,43.7
Bangladesh,1996,5.68,3.8,43.6
Bangladesh,1997,5.39,4.74,43.5
Bangladesh,1998,4.92,3.78,43.5
Bangladesh,1999,5.89,3.45,43.4
Bangladesh,2000,5.12,3.26,43.5
Bangladesh,2001,4.15,3.89,43.7
Bangladesh,2003,5.84,4.56,44
Bangladesh,2004,5.28,4.59,44.1
Bangladesh,2005,6.53,5.88,43.5
Bangladesh,2006,6.3,6.47,43
Bangladesh,2007,5.96,7.86,42.4
Bangladesh,2008,5.91,6.76,42.1
Bangladesh,2009,6.4,7.14,42
Bangladesh,2010,6.66,7.86,41.9
Bangladesh,2011,6.21,8.16,41.9
Bangladesh,2012,6.04,7.17,41.9
Belarus,1990,-1.45,110,26.9
Belarus,1991,-10,1030,27.9
Belarus,1992,-8.06,1060,28.9
Belarus,1993,-12,1950,29.6
Belarus,1994,-10.7,662,30.3
Belarus,1995,2.45,53.7,30.6
Belarus,1996,11,71.6,30.9
Belarus,1997,8,76.6,31.4
Belarus,1998,3.01,317,31.5
Belarus,1999,5.44,185,31.8
Belarus,2000,4.37,79.5,32.2
Belarus,2001,4.66,44.9,32.7
Belarus,2003,11,22.7,33.5
Belarus,2004,8.88,19,34.1
Belarus,2005,9.87,10.7,34
Belarus,2006,8.38,12.9,34.2
Belarus,2007,11.7,21.2,34.3
Belarus,2008,-0.152,9.26,33.9
Belarus,2009,7.5,11.3,33.9
Belarus,2010,5.68,71,34
Belarus,2011,1.56,75.3,34.3
Belarus,2012,0.601,21.3,34.4
Belgium,1990,1.75,2.88,32.5
Belgium,1991,1.4,3.42,32.1
Belgium,1992,-1.08,3.99,32.1
Belgium,1993,3.11,2.09,33.1
Belgium,1994,2.28,1.22,32.5
Belgium,1995,1.11,0.477,32.9
Belgium,1996,3.28,0.758,32.8
Belgium,1997,1.86,1.81,32.5
Belgium,1998,3.44,0.599,32.6
Belgium,1999,3.75,2.01,32.5
Belgium,2000,0.859,1.98,32
Belgium,2001,1.73,1.64,31.6
Belgium,2003,3.35,1.91,32.1
Belgium,2004,2.07,2.08,31.8
Belgium,2005,2.62,2.26,32.2
Belgium,2006,2.79,1.93,33.1
Belgium,2007,0.809,1.91,31.5
Belgium,2008,-3.02,0.533,30.3
Belgium,2009,2.09,1.89,31.6
Belgium,2010,0.69,1.81,31.5
Belgium,2011,-0.674,1.96,31.6
Belgium,2012,-0.0943,1.27,31.5
Benin,1990,4.81,0.757,48.2
Benin,1991,4.37,3.03,48.2
Benin,1992,2.41,2.38,48.2
Benin,1993,2.63,35,48.2
Benin,1994,3.97,15.1,48.2
Benin,1995,5.25,6.91,48.2
Benin,1996,5.49,3.67,48.2
Benin,1997,4.36,5.23,48.2
Benin,1998,4.56,48.3,48.2
Benin,1999,5.79,4.34,48.2
Benin,2000,5.15,1.97,48.2
Benin,2001,6.29,3.55,48.2
Benin,2003,3.48,0.77,48.6
Benin,2004,3.25,4.29,49
Benin,2005,3.75,2.09,49.4
Benin,2006,4.63,0.39,49.8
Benin,2007,5.02,6.43,50.1
Benin,2008,2.66,2.54,50.5
Benin,2009,2.55,0.881,50.9
Benin,2010,3.53,3.73,51.3
Benin,2011,5.39,7.7,52.2
Benin,2012,5.68,1.4,53
Bhutan,1990,0.77,8.94,48.3
Bhutan,1991,3.73,8.92,48.3
Bhutan,1992,2.08,8.51,48.3
Bhutan,1993,5.94,12.3,48.3
Bhutan,1994,6.8,8.28,48.3
Bhutan,1995,6.4,8.11,48.3
Bhutan,1996,5.83,12.9,48.3
Bhutan,1997,6.1,10.7,48.3
Bhutan,1998,7.94,6.17,48.4
Bhutan,1999,7.72,7.35,48.4
Bhutan,2000,7.3,5.36,48.4
Bhutan,2001,10.2,4.76,48.4
Bhutan,2003,7.09,3.7,47
Bhutan,2004,6.91,5.9,45.8
Bhutan,2005,6.85,5.42,44.9
Bhutan,2006,17.9,2.95,44.3
Bhutan,2007,4.67,5.51,44.8
Bhutan,2008,6.73,4.76,45.2
Bhutan,2009,11.7,5.85,45.8
Bhutan,2010,8.51,8.51,45.9
Bhutan,2011,7.51,9.18,46.1
Bhutan,2012,6.4,5.87,45
Botswana,1990,4.76,5.18,66.9
Botswana,1991,2.77,6.64,68
Botswana,1992,1.6,13.1,69
Botswana,1993,3.17,9.46,69.1
Botswana,1994,4.26,7.16,69.1
Botswana,1995,5.61,16.1,69.2
Botswana,1996,6.78,4.99,69.2
Botswana,1997,6.17,9.97,69.2
Botswana,1998,6.75,14.2,69.3
Botswana,1999,9.19,14.2,69.3
Botswana,2000,5.88,8.31,69.3
Botswana,2001,5.75,1.19,69.4
Botswana,2003,4.15,10.1,68.7
Botswana,2004,4.15,15.5,68.4
Botswana,2005,5.69,7.47,68
Botswana,2006,4.92,4.93,67.7
Botswana,2007,3.2,4.73,67.4
Botswana,2008,-4.58,6.46,67.1
Botswana,2009,7.11,8.92,65.7
Botswana,2010,5.09,14,64.3
Botswana,2011,4.1,0.194,63
Botswana,2012,3.79,2.31,61.6
Bulgaria,1990,-7.93,227,27.6
Bulgaria,1991,-7.07,59.6,30.7
Bulgaria,1992,-0.149,51.1,31.3
Bulgaria,1993,1.67,72.7,37.1
Bulgaria,1994,2.96,136,38.4
Bulgaria,1995,-9.27,63.1,36.6
Bulgaria,1996,-5.35,914,36
Bulgaria,1997,4.36,33.3,33.9
Bulgaria,1998,2.51,3.19,32.1
Bulgaria,1999,5.6,7.18,31.7
Bulgaria,2000,4.41,6.12,33.1
Bulgaria,2001,5.21,3.77,36.9
Bulgaria,2003,6.9,5.65,36.2
Bulgaria,2004,6.55,6.5,35.9
Bulgaria,2005,6.37,6.76,34.8
Bulgaria,2006,6.31,11.1,33.5
Bulgaria,2007,5.98,8.13,32.5
Bulgaria,2008,-5.55,4.05,34.3
Bulgaria,2009,0.531,1.15,34.3
Bulgaria,2010,3.64,5.94,34.5
Bulgaria,2011,0.554,1.53,36.5
Bulgaria,2012,0.806,-0.669,35
Burkina Faso,1990,9.51,-3.97,57.4
Burkina Faso,1991,2.07,0.227,57.4
Burkina Faso,1992,-1.17,-1.44,57.4
Burkina Faso,1993,0.847,14.6,57.4
Burkina Faso,1994,4.08,6.77,58.4
Burkina Faso,1995,7.35,0.349,59.5
Burkina Faso,1996,4.71,1.56,60.5
Burkina Faso,1997,6.34,7.94,61.5
Burkina Faso,1998,6.1,17.4,59.4
Burkina Faso,1999,2.04,-0.82,57.3
Burkina Faso,2000,5.81,3.96,55.1
Burkina Faso,2001,3.67,3.06,53
Burkina Faso,2003,4.5,0.0906,50.6
Burkina Faso,2004,7.01,3.74,50.4
Burkina Faso,2005,6.25,-0.663,50.1
Burkina Faso,2006,4.1,2.49,49.9
Burkina Faso,2007,5.81,9.16,49.6
Burkina Faso,2008,2.96,2.41,49.4
Burkina Faso,2009,7.88,3.78,48.8
Burkina Faso,2010,4.16,6.74,48.2
Burkina Faso,2011,8.89,5.82,47.6
Burkina Faso,2012,8.06,-2.13,47
Burundi,1990,4.79,4.09,42.2
Burundi,1991,-0.396,5.4,42.2
Burundi,1992,-1.32,7.74,43.5
Burundi,1993,-3.19,6.64,44.8
Burundi,1994,-12.3,16.1,46.1
Burundi,1995,-7.94,14.5,47.5
Burundi,1996,0.73,32.4,48.8
Burundi,1997,2.98,11.5,50.1
Burundi,1998,-2.93,15,49.4
Burundi,1999,-1.15,38.9,48.6
Burundi,2000,1.22,13.7,47.9
Burundi,2001,3.78,1.03,47.2
Burundi,2003,4.05,13.1,45.7
Burundi,2004,0.224,18.8,45
Burundi,2005,6.5,2.85,44.3
Burundi,2006,5.94,8.27,44.8
Burundi,2007,5.72,24.2,45.3
Burundi,2008,3.94,10.5,45.8
Burundi,2009,3.98,8.56,46.3
Burundi,2010,4.08,8.36,46.8
Burundi,2011,3.64,14.3,47.3
Burundi,2012,3.91,7.96,47.8
Cameroon,1990,-3.85,3.57,53.7
Cameroon,1991,-3.13,-1.28,53.7
Cameroon,1992,-3.23,39.8,53.7
Cameroon,1993,-2.54,9.62,53.7
Cameroon,1994,3.28,4.99,53.7
Cameroon,1995,4.93,1.07,53.7
Cameroon,1996,5.01,5.59,53.2
Cameroon,1997,4.9,4.31,52.7
Cameroon,1998,4.34,-1.12,52.2
Cameroon,1999,4.21,5.21,51.7
Cameroon,2000,5.35,1.46,51.2
Cameroon,2001,6.53,1.84,51
Cameroon,2003,3.82,1.99,50.5
Cameroon,2004,2.15,0.749,50.3
Cameroon,2005,2.67,3.36,50
Cameroon,2006,2.28,0.958,49.8
Cameroon,2007,3.05,6.61,50
Cameroon,2008,1.29,1.65,50.3
Cameroon,2009,3.03,1.91,50.6
Cameroon,2010,3.79,2.67,50.9
Cameroon,2011,4.26,2.67,51.1
Cameroon,2012,4.31,2.04,51.4
Cape Verde,1990,0.779,4.79,60.5
Cape Verde,1991,1.17,-4.12,60.5
Cape Verde,1992,1.39,49.4,60.5
Cape Verde,1993,7.83,-29.2,60.5
Cape Verde,1994,8.97,-1.55,60.5
Cape Verde,1995,7.66,-0.546,60.5
Cape Verde,1996,8.67,-0.835,60.5
Cape Verde,1997,8.22,-0.336,60.5
Cape Verde,1998,9.49,7.61,60.5
Cape Verde,1999,7.61,-7.9,60.5
Cape Verde,2000,6.92,5.16,60.5
Cape Verde,2001,5.89,-0.363,59.5
Cape Verde,2003,5.06,-6.33,57.5
Cape Verde,2004,6.51,-1.79,56.5
Cape Verde,2005,9.74,4.64,55.6
Cape Verde,2006,8.15,8.75,54.6
Cape Verde,2007,5.66,3.55,53.8
Cape Verde,2008,3.18,2.17,53.1
Cape Verde,2009,4.68,0.505,52.3
Cape Verde,2010,4.56,2.68,51.6
Cape Verde,2011,1.17,0.553,50.8
Cape Verde,2012,0.259,1.43,50.1
Central African Republic,1990,-1.01,-0.39,65
Central African Republic,1991,-6.69,2.78,65
Central African Republic,1992,-0.138,-3.43,63.6
Central African Republic,1993,6.26,24.4,62.1
Central African Republic,1994,5.47,9.9,60.7
Central African Republic,1995,-7.28,-3.54,59.3
Central African Republic,1996,7.76,0.823,57.9
Central African Republic,1997,3.81,-0.414,56.5
Central African Republic,1998,3.56,4.08,55.1
Central African Republic,1999,1.72,8.51,53.7
Central African Republic,2000,0.61,0.426,52.3
Central African Republic,2001,-0.348,-2.37,50.9
Central African Republic,2003,1.49,-4.44,52.5
Central African Republic,2004,2.26,4.19,55.5
Central African Republic,2005,4.5,3.33,58.6
Central African Republic,2006,4.4,1.84,61.6
Central African Republic,2007,1.91,7.08,64.6
Central African Republic,2008,-0.0427,0.712,64.6
Central African Republic,2009,2.46,4.21,64.6
Central African Republic,2010,2.75,4.01,64.6
Central African Republic,2011,4.13,6.18,64.6
Central African Republic,2012,-36,2.49,64.6
Chad,1990,10,3.07,47.4
Chad,1991,2.31,-12.9,47.4
Chad,1992,-2.24,-1.31,47.4
Chad,1993,5.09,43.5,47.4
Chad,1994,0.379,8.83,47.4
Chad,1995,3.07,11.5,47.4
Chad,1996,4.2,3.78,47.4
Chad,1997,7.74,6.75,47.4
Chad,1998,2.41,-7.57,47.4
Chad,1999,1.25,5.29,47.4
Chad,2000,10.4,13.8,47.4
Chad,2001,10.6,1.91,47.4
Chad,2003,34.3,9.73,47.4
Chad,2004,8.21,28.1,47.6
Chad,2005,0.687,9.98,47.8
Chad,2006,0.528,3.3,48
Chad,2007,1.87,8.65,48.3
Chad,2008,-1.05,-9.56,48.5
Chad,2009,13.2,6.39,48.7
Chad,2010,0.683,8.58,48.9
Chad,2011,9.04,1.1,48.9
Chad,2012,3.76,-4.14,48.9
China,1990,6.19,6.71,31.1
China,1991,8.75,8.19,32.3
China,1992,12.2,15.2,33.5
China,1993,8.81,20.6,34
China,1994,12.7,13.7,33.5
China,1995,3.42,6.51,33.5
China,1996,6.24,1.62,33.6
China,1997,-0.849,-0.9,33.9
China,1998,4.95,-1.26,34.5
China,1999,5.63,2.06,35.6
China,2000,6.95,2.05,36.3
China,2001,10.9,0.602,39.4
China,2003,10.2,6.95,40.9
China,2004,10.1,3.9,41.9
China,2005,12.4,3.93,42.1
China,2006,11.2,7.75,42.4
China,2007,2.2,7.8,42.4
China,2008,7.5,-0.21,42.3
China,2009,7.34,6.88,42.6
China,2010,5.56,8.08,42.9
China,2011,7.6,2.33,41.5
China,2012,7.6,2.16,42.1
Comoros,1990,1.78,8.12,50
Comoros,1991,3.47,-6.76,50
Comoros,1992,3.01,2.83,50
Comoros,1993,-5.28,9.42,50
Comoros,1994,3.61,8.32,50
Comoros,1995,-1.34,3.2,51.9
Comoros,1996,4.22,0.924,53.7
Comoros,1997,1.15,1.35,55.5
Comoros,1998,1.92,5.81,57.4
Comoros,1999,1.42,-4.46,59.2
Comoros,2000,3.33,8.63,61.1
Comoros,2001,4.15,4.17,62.9
Comoros,2003,-0.24,3.39,66.6
Comoros,2004,4.23,0.316,64.9
Comoros,2005,1.24,3.11,63.2
Comoros,2006,0.491,3.54,61.6
Comoros,2007,0.975,3.11,59.9
Comoros,2008,1.81,1.03,58.3
Comoros,2009,2.05,1.65,56.6
Comoros,2010,2.23,3.09,54.9
Comoros,2011,3.44,4.24,53.3
Comoros,2012,3.96,1.72,51.6
"Congo, Rep.",1990,2.4,-1.48,54.1
"Congo, Rep.",1991,2.61,-1.57,54.1
"Congo, Rep.",1992,-0.98,-1.13,54.1
"Congo, Rep.",1993,-5.49,36.8,54.1
"Congo, Rep.",1994,3.98,3.4,54.1
"Congo, Rep.",1995,4.29,18,54.1
"Congo, Rep.",1996,-0.625,4.96,54.1
"Congo, Rep.",1997,3.74,-18.2,54.1
"Congo, Rep.",1998,-2.58,29.4,54.1
"Congo, Rep.",1999,7.57,47,54.1
"Congo, Rep.",2000,3.81,-13.9,54.1
"Congo, Rep.",2001,4.58,-1.74,54.1
"Congo, Rep.",2003,3.57,16.8,54.1
"Congo, Rep.",2004,7.65,32.5,54.1
"Congo, Rep.",2005,6.24,11.4,54.3
"Congo, Rep.",2006,-1.59,6.74,54.6
"Congo, Rep.",2007,5.93,16.3,54.8
"Congo, Rep.",2008,7.5,-21.2,55.1
"Congo, Rep.",2009,8.71,29.4,55.3
"Congo, Rep.",2010,4.46,11,55.6
"Congo, Rep.",2011,3.16,11.4,55.6
"Congo, Rep.",2012,4.47,-1.1,55.6
Cote d'Ivoire,1990,0.0566,0.663,48.5
Cote d'Ivoire,1991,-0.623,-0.0238,46.8
Cote d'Ivoire,1992,-0.399,6.15,45.1
Cote d'Ivoire,1993,2.14,46.4,45.9
Cote d'Ivoire,1994,7.05,11,46.6
Cote d'Ivoire,1995,6.75,4.98,47.4
Cote d'Ivoire,1996,5.68,6.2,48.1
Cote d'Ivoire,1997,5.13,3.64,48.9
Cote d'Ivoire,1998,1.94,0.786,50.1
Cote d'Ivoire,1999,-2.67,2.25,51.2
Cote d'Ivoire,2000,0.116,7.4,52.4
Cote d'Ivoire,2001,-1.67,6.67,53.6
Cote d'Ivoire,2003,1.23,-2.89,52.4
Cote d'Ivoire,2004,1.72,1.3,51.7
Cote d'Ivoire,2005,0.698,1.74,51.1
Cote d'Ivoire,2006,1.61,2.93,50.5
Cote d'Ivoire,2007,2.32,8.5,49.9
Cote d'Ivoire,2008,3.8,2.35,49.6
Cote d'Ivoire,2009,3,5.39,49.3
Cote d'Ivoire,2010,-4.73,1.64,49.1
Cote d'Ivoire,2011,8.9,3.15,48.8
Cote d'Ivoire,2012,7.29,3.71,48.6
Cyprus,1990,0.198,3.89,36.7
Cyprus,1991,8.93,6.04,36.6
Cyprus,1992,0.477,4.8,36.6
Cyprus,1993,5.93,5.27,36.5
Cyprus,1994,10.3,13.6,36.3
Cyprus,1995,2.33,2.64,35.7
Cyprus,1996,2.91,2.24,33.7
Cyprus,1997,5.75,1.97,39.1
Cyprus,1998,5.69,2.3,33.8
Cyprus,1999,5.95,2.74,32.8
Cyprus,2000,4.82,3.66,33.8
Cyprus,2001,2.84,0.296,36.3
Cyprus,2003,3.67,2.71,29.9
Cyprus,2004,2.75,2.02,29.9
Cyprus,2005,3.77,3.09,31.9
Cyprus,2006,4.03,4.14,32.4
Cyprus,2007,2.25,4.73,33.8
Cyprus,2008,-3.32,0.263,35.2
Cyprus,2009,0.00511,1.88,33.2
Cyprus,2010,-0.91,1.62,36.7
Cyprus,2011,-2.42,1.68,37
Cyprus,2012,-6.02,-0.946,41.8
Czech Republic,1990,-11.6,36.2,21
Czech Republic,1991,-0.49,12.4,22.3
Czech Republic,1992,0.0883,21,23.3
Czech Republic,1993,2.24,12.3,24.2
Czech Republic,1994,5.96,8.82,25.1
Czech Republic,1995,4.06,9.91,26
Czech Republic,1996,-0.685,8.31,25.7
Czech Republic,1997,-0.721,9.81,26.2
Czech Republic,1998,1.36,3.04,26.3
Czech Republic,1999,3.64,1.84,26.4
Czech Republic,2000,2.4,4.89,26.5
Czech Republic,2001,1.81,2.72,26.4
Czech Republic,2003,4.54,4.05,27.8
Czech Republic,2004,6.6,0.0949,28.2
Czech Republic,2005,7.1,0.654,28.7
Czech Republic,2006,5.93,3.54,28.9
Czech Republic,2007,2.8,2.01,30.6
Czech Republic,2008,-4.73,2.59,28.3
Czech Republic,2009,2.63,-1.43,28.6
Czech Republic,2010,2.07,-0.0206,28.1
Czech Republic,2011,-0.903,1.45,29.4
Czech Republic,2012,-0.747,1.36,28.5
Denmark,1990,1.45,2.66,27.4
Denmark,1991,2.11,1.66,27.4
Denmark,1992,0.0877,0.58,27.4
Denmark,1993,5.74,1.57,28.4
Denmark,1994,3.09,1.28,28.6
Denmark,1995,2.82,2.01,28.6
Denmark,1996,3.35,2.01,29.7
Denmark,1997,2.35,1.23,28.9
Denmark,1998,2.76,1.68,30.2
Denmark,1999,3.74,3.02,30.6
Denmark,2000,0.811,2.52,29.4
Denmark,2001,0.504,2.35,29.4
Denmark,2003,2.18,2.1,29.2
Denmark,2004,3.21,2.91,29.9
Denmark,2005,3.53,2.08,30.1
Denmark,2006,1.71,2.43,29.8
Denmark,2007,-0.795,4.13,29.4
Denmark,2008,-5.81,0.529,28.4
Denmark,2009,1.61,3.22,30.9
Denmark,2010,1.04,0.639,31
Denmark,2011,-0.355,2.38,31.3
Denmark,2012,0.566,0.888,32.4
Egypt,1990,-3.76,16.1,49.5
Egypt,1991,2.94,18.4,49.5
Egypt,1992,1.18,8.43,49.5
Egypt,1993,3.5,8.45,49.5
Egypt,1994,4.16,11.4,49.5
Egypt,1995,4.49,7.11,49.5
Egypt,1996,4.98,9.88,49.4
Egypt,1997,5.23,2.38,49.4
Egypt,1998,5.68,0.919,49.4
Egypt,1999,5.12,3.94,48.9
Egypt,2000,3.33,1.87,48.6
Egypt,2001,3.1,3.17,48.3
Egypt,2003,4.11,11.7,47.6
Egypt,2004,4.54,6.21,47.4
Egypt,2005,6.83,7.36,47.1
Egypt,2006,5.63,12.6,46.9
Egypt,2007,6.76,12.2,47
Egypt,2008,4.18,11.2,45.5
Egypt,2009,4.55,10.1,44.6
Egypt,2010,1.36,11.7,44.4
Egypt,2011,1.33,19.5,45.1
Egypt,2012,1.79,8.71,46.1
Equatorial Guinea,1990,-1.04,3.55,50.2
Equatorial Guinea,1991,34.7,-15.4,50.2
Equatorial Guinea,1992,11,-2.69,50.1
Equatorial Guinea,1993,16.7,24.5,50
Equatorial Guinea,1994,17.5,7.68,50
Equatorial Guinea,1995,66.5,0.821,50.3
Equatorial Guinea,1996,150,-13.1,50.5
Equatorial Guinea,1997,23.8,-31.6,50.7
Equatorial Guinea,1998,25.7,39.2,50.9
Equatorial Guinea,1999,18.2,64.7,51.1
Equatorial Guinea,2000,63.4,-12,50.8
Equatorial Guinea,2001,19.5,-1.58,50.5
Equatorial Guinea,2003,38,16.9,50.1
Equatorial Guinea,2004,9.78,59.3,51.5
Equatorial Guinea,2005,1.25,13,51.4
Equatorial Guinea,2006,13.1,3.04,51.2
Equatorial Guinea,2007,12.3,19.8,51.2
Equatorial Guinea,2008,-8.09,-20.8,51
Equatorial Guinea,2009,-1.32,24.9,50.7
Equatorial Guinea,2010,4.98,17,50.5
Equatorial Guinea,2011,3.19,4.85,50.3
Equatorial Guinea,2012,-4.92,-1.07,50.5
Eswatini,1990,0.732,8.78,67.5
Eswatini,1991,-0.284,11.2,67.5
Eswatini,1992,2.24,17.4,67.5
Eswatini,1993,4.8,11,67.5
Eswatini,1994,5.12,16.6,66.5
Eswatini,1995,3.52,7.68,65.6
Eswatini,1996,3.75,11.3,64.6
Eswatini,1997,3.32,7.41,63.7
Eswatini,1998,3.69,5.37,62.7
Eswatini,1999,2.3,25.3,61.8
Eswatini,2000,1.69,8.94,61.2
Eswatini,2001,2.75,8.91,60.7
Eswatini,2003,2.52,3.87,59.6
Eswatini,2004,3.16,6.56,59.1
Eswatini,2005,2.9,4.04,58.5
Eswatini,2006,14.2,5.01,58
Eswatini,2007,3.5,10.4,57.5
Eswatini,2008,1.64,9.77,56.9
Eswatini,2009,2.28,3.2,57.3
Eswatini,2010,0.525,5.34,57.7
Eswatini,2011,2.08,8.76,58
Eswatini,2012,2.96,6.53,58.4
Ethiopia,1990,-7.22,19.1,53.8
Ethiopia,1991,-8.78,15.5,54.8
Ethiopia,1992,13,13.4,55.8
Ethiopia,1993,3.06,2.93,56.7
Ethiopia,1994,6.01,12.7,57.7
Ethiopia,1995,12.3,0.239,53.7
